survey,sample_id,midpoint_date_gmt,sampleTime_UTC,latitude,longitude,chlorophyll_index
Atlantic CPR,142HE-27,1997-09-06T13:00:00Z,1997-09-06T13:00:00Z,54.0333,7.705,6.5
Atlantic CPR,142HE-25,1997-09-06T14:25:00Z,1997-09-06T14:25:00Z,54.0067,7.1433,6.5
Atlantic CPR,142HE-23,1997-09-06T15:48:00Z,1997-09-06T15:48:00Z,54.0217,6.5783,6.5
Atlantic CPR,142HE-21,1997-09-06T17:11:00Z,1997-09-06T17:11:00Z,54.0367,6.0133,6.5
Atlantic CPR,142HE-19,1997-09-06T18:36:00Z,1997-09-06T18:36:00Z,54.0517,5.4467,2
Atlantic CPR,534C--33,1997-09-06T19:07:00Z,1997-09-06T19:07:00Z,57.235,8.7083,6.5
Atlantic CPR,142HE-17,1997-09-06T19:59:00Z,1997-09-06T19:59:00Z,54.0667,4.875,2
Atlantic CPR,534C--31,1997-09-06T20:16:00Z,1997-09-06T20:16:00Z,57.0317,8.2217,6.5
Atlantic CPR,534C--29,1997-09-06T21:26:00Z,1997-09-06T21:26:00Z,56.83,7.7367,6.5
Atlantic CPR,142HE-15,1997-09-06T21:30:00Z,1997-09-06T21:30:00Z,54.0317,4.31,2
Atlantic CPR,534C--27,1997-09-06T22:35:00Z,1997-09-06T22:35:00Z,56.6267,7.255,6.5
Atlantic CPR,142HE-13,1997-09-06T23:01:00Z,1997-09-06T23:01:00Z,53.995,3.7467,2
Atlantic CPR,534C--25,1997-09-06T23:44:00Z,1997-09-06T23:44:00Z,56.425,6.7767,2
Atlantic CPR,142HE-11,1997-09-07T00:31:00Z,1997-09-07T00:31:00Z,53.9533,3.1833,2
Atlantic CPR,534C--23,1997-09-07T00:54:00Z,1997-09-07T00:54:00Z,56.2217,6.3,1
Atlantic CPR,142HE-9,1997-09-07T01:52:00Z,1997-09-07T01:52:00Z,53.88,2.6333,2
Atlantic CPR,534C--21,1997-09-07T02:04:00Z,1997-09-07T02:04:00Z,56.02,5.8267,1
Atlantic CPR,534C--19,1997-09-07T03:13:00Z,1997-09-07T03:13:00Z,55.8167,5.355,1
Atlantic CPR,142HE-7,1997-09-07T03:14:00Z,1997-09-07T03:14:00Z,53.8067,2.0833,2
Atlantic CPR,534C--17,1997-09-07T04:23:00Z,1997-09-07T04:23:00Z,55.6133,4.8867,2
Atlantic CPR,142HE-5,1997-09-07T04:36:00Z,1997-09-07T04:36:00Z,53.735,1.5333,2
Atlantic CPR,133IB-35,1997-09-07T04:58:00Z,1997-09-07T04:58:00Z,46.215,-8.4183,0
Atlantic CPR,534C--15,1997-09-07T05:33:00Z,1997-09-07T05:33:00Z,55.4117,4.42,2
Atlantic CPR,142HE-3,1997-09-07T05:58:00Z,1997-09-07T05:58:00Z,53.665,0.98,2
Atlantic CPR,133IB-33,1997-09-07T06:25:00Z,1997-09-07T06:25:00Z,46.5333,-8.2733,0
Atlantic CPR,534C--13,1997-09-07T06:42:00Z,1997-09-07T06:42:00Z,55.2083,3.955,1
Atlantic CPR,142HE-1,1997-09-07T07:18:00Z,1997-09-07T07:18:00Z,53.5833,0.435,1
Atlantic CPR,133IB-31,1997-09-07T07:51:00Z,1997-09-07T07:51:00Z,46.8517,-8.1283,1
Atlantic CPR,534C--11,1997-09-07T07:52:00Z,1997-09-07T07:52:00Z,55.0067,3.4933,2
Atlantic CPR,534C--9,1997-09-07T09:01:00Z,1997-09-07T09:01:00Z,54.8033,3.035,1
Atlantic CPR,133IB-29,1997-09-07T09:18:00Z,1997-09-07T09:18:00Z,47.1683,-7.9817,0
Atlantic CPR,534C--7,1997-09-07T10:10:00Z,1997-09-07T10:10:00Z,54.6017,2.5783,1
Atlantic CPR,133IB-27,1997-09-07T10:45:00Z,1997-09-07T10:45:00Z,47.4867,-7.8333,1
Atlantic CPR,534C--5,1997-09-07T11:20:00Z,1997-09-07T11:20:00Z,54.3983,2.1233,2
Atlantic CPR,133IB-25,1997-09-07T12:11:00Z,1997-09-07T12:11:00Z,47.805,-7.685,0
Atlantic CPR,534C--3,1997-09-07T12:30:00Z,1997-09-07T12:30:00Z,54.1967,1.67,2
Atlantic CPR,133IB-23,1997-09-07T13:38:00Z,1997-09-07T13:38:00Z,48.1217,-7.535,0
Atlantic CPR,534C--1,1997-09-07T13:40:00Z,1997-09-07T13:40:00Z,53.9933,1.22,1
Atlantic CPR,133IB-21,1997-09-07T15:04:00Z,1997-09-07T15:04:00Z,48.44,-7.385,0
Atlantic CPR,133IB-19,1997-09-07T16:31:00Z,1997-09-07T16:31:00Z,48.7583,-7.2333,0
Atlantic CPR,133IB-17,1997-09-07T17:58:00Z,1997-09-07T17:58:00Z,49.0767,-7.0817,0
Atlantic CPR,584A--15,1997-09-07T18:36:00Z,1997-09-07T18:36:00Z,59.8,-1.16,1
Atlantic CPR,133IB-15,1997-09-07T19:24:00Z,1997-09-07T19:24:00Z,49.3933,-6.9283,0
Atlantic CPR,584A--13,1997-09-07T20:00:00Z,1997-09-07T20:00:00Z,59.47,-1.2317,1
