survey,sample_id,midpoint_date_gmt,sampleTime_UTC,latitude,longitude,chlorophyll_index
North Pacific CPR,9VJ-14,2001-06-13T13:16:00Z,2001-06-13T13:16:00Z,53.94,-155.193,0
North Pacific CPR,9VJ-16,2001-06-13T14:35:00Z,2001-06-13T14:35:00Z,53.963,-155.757,0
North Pacific CPR,9VJ-17,2001-06-13T15:14:00Z,2001-06-13T15:14:00Z,53.973,-156.038,0
North Pacific CPR,9VJ-18,2001-06-13T15:54:00Z,2001-06-13T15:54:00Z,53.985,-156.32,0
North Pacific CPR,9VJ-20,2001-06-13T17:13:00Z,2001-06-13T17:13:00Z,54.008,-156.885,0
North Pacific CPR,9VJ-21,2001-06-13T17:52:00Z,2001-06-13T17:52:00Z,54.02,-157.167,0
North Pacific CPR,9VJ-22,2001-06-13T18:32:00Z,2001-06-13T18:32:00Z,54.03,-157.45,0
North Pacific CPR,9VJ-40,2001-06-14T06:22:00Z,2001-06-14T06:22:00Z,54.235,-162.547,0
North Pacific CPR,9VJ-41,2001-06-14T07:01:00Z,2001-06-14T07:01:00Z,54.247,-162.83,0
North Pacific CPR,9VJ-42,2001-06-14T07:41:00Z,2001-06-14T07:41:00Z,54.257,-163.115,0
North Pacific CPR,9VJ-44,2001-06-14T09:00:00Z,2001-06-14T09:00:00Z,54.28,-163.682,0
North Pacific CPR,9VJ-45,2001-06-14T09:39:00Z,2001-06-14T09:39:00Z,54.292,-163.967,0
North Pacific CPR,9VJ-46,2001-06-14T10:19:00Z,2001-06-14T10:19:00Z,54.303,-164.25,0
North Pacific CPR,10VJ-1,2001-06-14T12:48:00Z,2001-06-14T12:48:00Z,54.333,-165.335,0
North Pacific CPR,10VJ-2,2001-06-14T13:29:00Z,2001-06-14T13:29:00Z,54.313,-165.618,0
North Pacific CPR,10VJ-4,2001-06-14T14:50:00Z,2001-06-14T14:50:00Z,54.273,-166.185,0
North Pacific CPR,10VJ-5,2001-06-14T15:31:00Z,2001-06-14T15:31:00Z,54.253,-166.467,0
North Pacific CPR,10VJ-6,2001-06-14T16:11:00Z,2001-06-14T16:11:00Z,54.233,-166.75,0
North Pacific CPR,47AC-1,2002-04-07T16:38:00Z,2002-04-07T16:38:00Z,38.0912,-123.2503,6.5
North Pacific CPR,47AC-5,2002-04-07T19:44:00Z,2002-04-07T19:44:00Z,38.5591,-123.853,1
North Pacific CPR,47AC-9,2002-04-07T22:33:00Z,2002-04-07T22:33:00Z,39.0998,-124.3341,1
North Pacific CPR,47AC-13,2002-04-08T01:09:00Z,2002-04-08T01:09:00Z,39.6907,-124.7321,2
North Pacific CPR,47AC-17,2002-04-08T03:46:00Z,2002-04-08T03:46:00Z,40.2815,-125.1336,2
North Pacific CPR,47AC-21,2002-04-08T06:24:00Z,2002-04-08T06:24:00Z,40.8723,-125.5386,2
North Pacific CPR,47AC-25,2002-04-08T09:00:00Z,2002-04-08T09:00:00Z,41.4631,-125.9473,2
North Pacific CPR,47AC-29,2002-04-08T11:37:00Z,2002-04-08T11:37:00Z,42.0539,-126.3598,6.5
North Pacific CPR,47AC-33,2002-04-08T14:14:00Z,2002-04-08T14:14:00Z,42.6448,-126.7761,1
North Pacific CPR,47AC-37,2002-04-08T16:51:00Z,2002-04-08T16:51:00Z,43.2356,-127.1964,1
North Pacific CPR,48AC-1,2002-04-08T20:17:00Z,2002-04-08T20:17:00Z,43.9987,-127.7508,0
North Pacific CPR,48AC-5,2002-04-08T22:47:00Z,2002-04-08T22:47:00Z,44.5886,-128.1834,1
North Pacific CPR,48AC-9,2002-04-09T01:18:00Z,2002-04-09T01:18:00Z,45.1784,-128.6205,1
North Pacific CPR,48AC-13,2002-04-09T03:49:00Z,2002-04-09T03:49:00Z,45.7682,-129.0622,1
North Pacific CPR,48AC-17,2002-04-09T06:21:00Z,2002-04-09T06:21:00Z,46.358,-129.5086,1
North Pacific CPR,48AC-21,2002-04-09T08:51:00Z,2002-04-09T08:51:00Z,46.9478,-129.9598,1
North Pacific CPR,48AC-25,2002-04-09T11:24:00Z,2002-04-09T11:24:00Z,47.5015,-130.5042,1
North Pacific CPR,48AC-29,2002-04-09T13:56:00Z,2002-04-09T13:56:00Z,48.0516,-131.0628,1
North Pacific CPR,48AC-33,2002-04-09T16:28:00Z,2002-04-09T16:28:00Z,48.6017,-131.6276,1
North Pacific CPR,48AC-37,2002-04-09T19:00:00Z,2002-04-09T19:00:00Z,49.1518,-132.1985,1
North Pacific CPR,49AC-1,2002-04-09T21:33:00Z,2002-04-09T21:33:00Z,49.708,-132.7802,1
North Pacific CPR,49AC-5,2002-04-10T00:04:00Z,2002-04-10T00:04:00Z,50.2585,-133.3632,1
North Pacific CPR,49AC-9,2002-04-10T02:35:00Z,2002-04-10T02:35:00Z,50.8091,-133.9531,1
North Pacific CPR,49AC-13,2002-04-10T05:07:00Z,2002-04-10T05:07:00Z,51.3597,-134.5499,1
North Pacific CPR,49AC-17,2002-04-10T07:38:00Z,2002-04-10T07:38:00Z,51.9102,-135.154,1
North Pacific CPR,49AC-21,2002-04-10T10:10:00Z,2002-04-10T10:10:00Z,52.4608,-135.7656,1
North Pacific CPR,49AC-25,2002-04-10T12:41:00Z,2002-04-10T12:41:00Z,53.0114,-136.385,1
North Pacific CPR,49AC-29,2002-04-10T15:13:00Z,2002-04-10T15:13:00Z,53.5619,-137.0123,1
North Pacific CPR,49AC-33,2002-04-10T17:44:00Z,2002-04-10T17:44:00Z,54.1125,-137.6479,1
North Pacific CPR,49AC-37,2002-04-10T20:16:00Z,2002-04-10T20:16:00Z,54.6631,-138.2921,1
North Pacific CPR,50AC-1,2002-04-10T22:40:00Z,2002-04-10T22:40:00Z,55.1906,-138.9279,1
North Pacific CPR,50AC-5,2002-04-11T01:15:00Z,2002-04-11T01:15:00Z,55.7412,-139.5897,1
North Pacific CPR,50AC-9,2002-04-11T03:50:00Z,2002-04-11T03:50:00Z,56.2917,-140.2609,1
North Pacific CPR,50AC-13,2002-04-11T06:23:00Z,2002-04-11T06:23:00Z,56.8422,-140.9419,1
North Pacific CPR,50AC-17,2002-04-11T08:58:00Z,2002-04-11T08:58:00Z,57.3928,-141.6331,1
North Pacific CPR,50AC-21,2002-04-11T11:33:00Z,2002-04-11T11:33:00Z,57.9433,-142.3347,1
North Pacific CPR,50AC-25,2002-04-11T14:07:00Z,2002-04-11T14:07:00Z,58.4939,-143.0473,1
North Pacific CPR,50AC-29,2002-04-11T16:42:00Z,2002-04-11T16:42:00Z,59.0444,-143.7711,2
North Pacific CPR,50AC-33,2002-04-11T19:12:00Z,2002-04-11T19:12:00Z,59.5383,-144.6392,2
North Pacific CPR,50AC-34,2002-04-11T19:50:00Z,2002-04-11T19:50:00Z,59.6553,-144.8733,2
North Pacific CPR,50AC-35,2002-04-11T20:27:00Z,2002-04-11T20:27:00Z,59.7724,-145.1082,2
